Subject;Group;Map;FOnset;LOffset;NumTF;TfCentroid;MeanCorr;Gev;BCorr;TfBCorr;GfpTfBCorr;MaxGfp;TfMaxGfp;MeanGfp;MeanDur;TimeCov;SegDensity
Subject17;Group2;Map1;73;154;76;111.213863;0.946831;0.241133;0.968562;134;0.944436;1.139378;104;0.921071;21.977261;0.926829;0.024390
Subject17;Group2;Map2;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject17;Group2;Map3;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject17;Group2;Map4;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject17;Group2;Map5;142;147;6;144.429723;0.950322;0.013758;0.957309;142;0.838887;0.838887;142;0.793488;6.000000;0.073171;0.012195
Subject18;Group2;Map1;83;88;6;85.356731;0.832821;0.004144;0.867352;88;1.047746;1.319050;83;1.095911;6.000000;0.073171;0.012195
Subject18;Group2;Map2;150;154;5;151.998919;0.903050;0.006947;0.909515;154;1.460335;1.460512;150;1.433081;5.000000;0.060976;0.012195
Subject18;Group2;Map3;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject18;Group2;Map4;73;82;10;77.152301;0.858066;0.032441;0.925851;73;2.301450;2.601571;76;2.250797;10.000000;0.121951;0.012195
Subject18;Group2;Map5;89;149;61;118.078528;0.950948;0.293791;0.984565;108;3.361893;3.463341;111;2.413309;61.000000;0.743902;0.012195
Subject19;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject19;Group2;Map2;73;101;29;83.734183;0.099645;0.017137;0.808139;97;1.125828;4.364309;80;2.515915;29.000000;0.353659;0.012195
Subject19;Group2;Map3;102;110;9;106.578468;0.923121;0.030434;0.958082;109;2.673895;2.775828;110;2.132658;9.000000;0.109756;0.012195
Subject19;Group2;Map4;111;154;44;129.411431;0.731023;0.093208;0.945171;111;2.865870;2.927188;112;1.861946;44.000000;0.536585;0.012195
Subject19;Group2;Map5;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject20;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject20;Group2;Map2;73;154;36;107.209061;0.429448;0.040507;0.849532;144;1.380481;1.678699;77;1.441903;11.656953;0.439024;0.036585
Subject20;Group2;Map3;96;109;14;102.335813;0.879131;0.063139;0.944888;97;1.957173;1.993202;99;1.902814;14.000000;0.170732;0.012195
Subject20;Group2;Map4;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject20;Group2;Map5;89;143;32;121.266307;0.898343;0.112983;0.950370;125;1.934614;1.982764;123;1.641918;13.228757;0.390244;0.024390
Subject21;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject21;Group2;Map2;73;91;19;82.411608;0.022991;0.001271;0.536704;73;1.125947;1.907357;84;1.559673;19.000000;0.231707;0.012195
Subject21;Group2;Map3;92;96;5;94.170084;0.808181;0.005368;0.929286;96;2.123986;2.123986;96;1.784373;5.000000;0.060976;0.012195
Subject21;Group2;Map4;97;131;35;113.523949;0.961751;0.126786;0.975253;110;3.008866;3.451397;104;2.870820;35.000000;0.426829;0.012195
Subject21;Group2;Map5;132;154;23;142.426649;0.971400;0.073071;0.982884;139;2.951614;2.987161;141;2.656370;23.000000;0.280488;0.012195
Subject22;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject22;Group2;Map2;73;94;22;82.548612;-0.297577;0.010053;0.580548;94;1.016631;2.317853;80;1.699469;22.000000;0.268293;0.012195
Subject22;Group2;Map3;95;145;51;121.496819;0.944663;0.187045;0.982763;128;3.174007;3.190257;129;2.608214;51.000000;0.621951;0.012195
Subject22;Group2;Map4;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject22;Group2;Map5;146;154;9;149.785653;0.951124;0.032406;0.959744;146;2.857416;2.893008;147;2.654642;9.000000;0.109756;0.012195
Subject23;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject23;Group2;Map2;73;96;24;83.688930;-0.346791;0.021723;0.467162;96;1.253827;3.627117;82;2.471480;24.000000;0.292683;0.012195
Subject23;Group2;Map3;97;118;22;108.245690;0.897713;0.047334;0.944592;108;2.418255;2.486379;118;2.207334;22.000000;0.268293;0.012195
Subject23;Group2;Map4;119;150;32;133.459972;0.955909;0.133182;0.963197;139;3.069256;3.564294;128;2.931277;32.000000;0.390244;0.012195
Subject23;Group2;Map5;151;154;4;152.449163;0.917038;0.004834;0.926919;151;1.788678;1.788678;151;1.669304;4.000000;0.048780;0.012195
Subject24;Group2;Map1;120;130;11;124.826111;0.905174;0.026760;0.924439;122;1.128621;1.172503;120;1.076661;11.000000;0.134146;0.012195
Subject24;Group2;Map2;79;90;12;84.420236;0.581746;0.007187;0.709289;79;0.853792;0.912112;90;0.822564;12.000000;0.146341;0.012195
Subject24;Group2;Map3;73;119;25;99.853496;0.879044;0.083992;0.944296;115;1.319770;1.558535;110;1.273160;8.082480;0.304878;0.036585
Subject24;Group2;Map4;131;140;10;135.804505;0.932383;0.053934;0.952027;140;1.658519;1.703347;137;1.544283;10.000000;0.121951;0.012195
Subject24;Group2;Map5;99;154;24;126.956495;0.921991;0.085903;0.960087;144;1.433342;1.636495;141;1.267363;11.832160;0.292683;0.024390
Subject25;Group2;Map1;146;154;9;149.952713;0.829464;0.015668;0.836469;146;1.853398;1.858270;148;1.826891;9.000000;0.109756;0.012195
Subject25;Group2;Map2;73;81;9;76.631001;0.390564;0.002373;0.604535;73;1.617161;1.617161;73;1.264481;9.000000;0.109756;0.012195
Subject25;Group2;Map3;82;95;14;89.644793;0.564941;0.017540;0.835627;95;2.491364;2.491364;95;1.765062;14.000000;0.170732;0.012195
Subject25;Group2;Map4;96;145;50;118.527408;0.907498;0.225253;0.951612;114;3.284278;3.285565;115;2.610672;50.000000;0.609756;0.012195
Subject25;Group2;Map5;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject26;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject26;Group2;Map2;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject26;Group2;Map3;73;122;32;105.813510;0.900428;0.121344;0.970926;122;3.833868;3.857314;111;3.002559;15.198684;0.390244;0.024390
Subject26;Group2;Map4;84;142;38;119.370610;0.937827;0.178885;0.982836;131;4.168930;4.366545;135;3.339146;18.973666;0.463415;0.024390
Subject26;Group2;Map5;143;154;12;148.215618;0.969100;0.067577;0.972565;144;4.209108;4.271645;143;3.792597;12.000000;0.146341;0.012195
Subject27;Group2;Map1;125;128;4;126.511296;0.552964;0.004026;0.558683;126;1.117358;1.129430;128;1.117491;4.000000;0.048780;0.012195
Subject27;Group2;Map2;73;154;46;120.322205;0.221156;0.016605;0.627564;92;1.085695;1.499074;152;1.083124;22.803509;0.560976;0.024390
Subject27;Group2;Map3;93;102;10;98.009739;0.863434;0.051758;0.938394;102;1.969847;1.969847;102;1.548276;10.000000;0.121951;0.012195
Subject27;Group2;Map4;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject27;Group2;Map5;103;124;22;111.835343;0.829997;0.106562;0.940763;104;2.036550;2.036550;104;1.464993;22.000000;0.268293;0.012195
Subject28;Group2;Map1;142;154;9;148.445953;0.881881;0.013802;0.956908;142;1.337879;1.546680;154;1.342574;4.472136;0.109756;0.024390
Subject28;Group2;Map2;73;149;18;97.668656;0.172118;0.006094;0.906416;146;1.226165;1.226805;79;1.022018;7.483315;0.219512;0.024390
Subject28;Group2;Map3;87;109;19;99.349928;0.822748;0.038107;0.955293;108;2.229923;2.259368;109;1.420864;8.366600;0.231707;0.024390
Subject28;Group2;Map4;110;135;26;121.670255;0.934739;0.091287;0.974305;116;2.141848;2.323812;112;1.889044;26.000000;0.317073;0.012195
Subject28;Group2;Map5;101;141;10;122.888451;0.947335;0.026078;0.969111;138;1.565160;2.015389;104;1.622608;4.898979;0.121951;0.024390
Subject29;Group2;Map1;-1;-1;0;-1.000000;-1.000000;0.000000;-1.000000;-1;-1.000000;0.000000;-1;0.000000;0.000000;0.000000;0.000000
Subject29;Group2;Map2;77;90;14;83.589016;-0.555918;0.007117;-0.243472;77;1.021739;2.005870;84;1.520008;14.000000;0.170732;0.012195
Subject29;Group2;Map3;73;120;30;105.031554;0.752854;0.062849;0.926430;106;2.864205;2.872968;107;2.054049;8.706588;0.365854;0.036585
Subject29;Group2;Map4;102;148;32;130.946450;0.836773;0.099509;0.927305;105;2.847792;3.219416;137;2.695157;10.583005;0.390244;0.024390
Subject29;Group2;Map5;149;154;6;151.384539;0.761192;0.005989;0.805172;149;1.912839;1.912839;149;1.702788;6.000000;0.073171;0.012195
